aX,aY,aZ,gX,gY,gZ
0.106,0.234,0.931,-3.418,10.01,3.662
0.08,0.233,0.972,-3.418,11.108,-4.333
0.085,0.237,0.989,-2.38,12.939,-9.155
0.068,0.244,1.001,-0.305,10.193,-13.794
0.017,0.266,1.019,2.93,6.165,-15.381
-0.026,0.268,1.02,6.226,2.502,-10.803
-0.034,0.243,1.001,9.033,-1.709,-2.808
-0.008,0.234,0.963,11.23,-4.944,5.92
0.009,0.246,0.932,10.62,-7.69,12.085
0.018,0.253,0.918,6.531,-8.972,13.794
0.028,0.246,0.917,1.587,-8.24,12.878
0.016,0.246,0.918,-1.343,-5.92,9.399
-0.003,0.259,0.929,-2.075,-2.991,5.554
-0.004,0.27,0.943,-2.38,-0.061,2.808
-0.019,0.259,0.959,-2.014,2.441,0.061
-0.034,0.274,0.979,-0.305,4.822,-1.465
-0.034,0.294,0.995,2.319,6.348,-1.709
-0.04,0.283,0.992,4.761,7.69,-0.61
-0.017,0.262,0.974,6.714,7.324,0.488
-0.007,0.249,0.943,7.446,5.554,1.16
-0.008,0.254,0.922,5.798,5.432,1.587
0.001,0.249,0.918,1.892,5.676,0.916
0.009,0.237,0.926,-2.38,5.554,-1.099
0.025,0.233,0.937,-5.005,5.798,-3.601
0.028,0.226,0.946,-6.165,6.226,-6.592
0.02,0.234,0.956,-6.775,7.08,-8.728
-0.012,0.242,0.975,-6.775,8.057,-8.667
-0.031,0.237,0.988,-5.31,7.507,-5.92
-0.03,0.233,0.994,-2.319,5.249,-1.465
-0.014,0.234,0.988,0.549,2.258,4.272
0.005,0.24,0.972,2.014,0.183,9.094
0.016,0.244,0.958,2.136,-1.282,11.169
0.026,0.249,0.947,0.916,-1.892,11.23
0.036,0.25,0.945,-1.038,-2.441,9.827
0.036,0.242,0.955,-2.258,-2.075,6.47
0.031,0.238,0.968,-2.258,0.244,3.418
0.04,0.244,0.971,-1.099,3.418,1.404
0.041,0.254,0.97,0.549,4.944,-0.488
0.025,0.254,0.974,0.977,5.371,-0.854
0.015,0.251,0.974,0.916,4.089,0.366
0.015,0.258,0.971,1.526,1.404,2.686
0.016,0.264,0.964,2.136,-0.916,4.517
0.023,0.264,0.956,2.014,-1.77,5.371
0.032,0.254,0.951,1.221,-1.526,4.517
0.034,0.241,0.95,0.977,-0.366,3.174
0.044,0.236,0.943,0.793,2.014,1.831
0.038,0.226,0.942,0.244,3.967,1.038
0.037,0.228,0.942,-0.549,4.272,1.282
0.048,0.237,0.943,-1.282,3.479,2.014
0.035,0.24,0.953,-2.014,1.465,2.197
0.036,0.233,0.969,-1.831,-1.038,2.808
0.049,0.228,0.971,-0.793,-2.441,3.113
0.048,0.233,0.966,1.282,-3.052,3.54
0.041,0.237,0.956,2.258,-3.235,3.662
0.032,0.241,0.946,2.38,-2.991,3.296
0.026,0.253,0.939,2.197,-2.136,2.93
0.02,0.257,0.939,1.648,-1.587,3.174
0.027,0.254,0.944,0.793,-1.526,3.113
0.028,0.258,0.953,0.427,-2.014,2.991
0.029,0.264,0.958,0.305,-2.136,3.052
0.026,0.262,0.956,0.061,-1.892,2.991
0.026,0.252,0.956,0.061,-0.732,2.808
0.007,0.275,0.956,0.427,0.732,2.991
0.013,0.274,0.962,0.122,0.916,3.174
-0.337,-1.622,1.08,-68.542,-58.655,-6.592
-0.425,-1.853,1.099,-83.313,-61.646,-18.005
-0.462,-1.982,1.131,-95.52,-59.998,-32.349
-0.467,-2.013,1.158,-103.638,-55.176,-48.767
-0.434,-1.999,1.169,-107.3,-48.035,-65.43
-0.357,-1.937,1.138,-107.361,-38.33,-79.773
-0.267,-1.834,1.073,-106.079,-27.893,-90.759
-0.213,-1.675,1.007,-105.53,-17.578,-97.9
-0.207,-1.438,0.962,-103.882,-5.676,-98.694
-0.262,-1.147,0.96,-95.032,9.827,-90.149
-0.306,-0.755,0.972,-72.51,35.767,-67.749
-0.271,-0.365,0.933,-34.18,78.003,-29.663
-0.154,0.047,0.764,12.756,130.92,20.081
0.169,0.62,0.506,52.795,179.26,72.632
0.812,1.608,0.26,85.876,200.317,116.211
1.065,2.355,0.173,105.042,161.743,113.77
0.919,2.379,0.457,92.896,63.721,53.04
0.909,2.222,0.573,56.335,-21.667,-15.747
0.818,2.312,0.543,33.447,-56.641,-49.316
0.508,2.382,0.668,27.344,-53.894,-54.565
0.289,2.208,0.678,15.32,-32.654,-48.767
0.204,1.898,0.642,-4.517,-14.954,-34.119
0.135,1.61,0.633,-28.564,-11.475,-13.367
0.111,1.48,0.64,-57.678,-23.01,4.028
0.037,1.361,0.678,-88.989,-45.898,18.372
-0.032,1.24,0.714,-116.577,-65.918,32.349
-0.008,1.195,0.775,-131.104,-74.89,45.349
0.051,1.205,0.899,-128.113,-76.233,49.927
0.124,1.178,1.072,-113.464,-69.092,40.771
0.131,1.072,1.228,-90.027,-50.354,16.663
0.041,0.982,1.358,-57.251,-21.24,-9.705
-0.073,0.885,1.374,-20.752,9.338,-28.381
-0.135,0.787,1.278,11.414,31.921,-33.875
-0.175,0.705,1.122,33.63,39.917,-25.208
-0.16,0.638,0.953,42.236,34.79,-9.155
-0.094,0.578,0.806,38.818,21.423,6.714
-0.053,0.51,0.718,26.367,3.479,20.264
0.004,0.499,0.716,10.864,-10.254,29.602
0.054,0.493,0.774,-2.93,-16.602,32.349
0.105,0.471,0.866,-12.817,-16.541,26.245
0.118,0.437,0.966,-14.526,-11.414,12.207
0.105,0.423,1.046,-7.08,-1.465,-1.587
0.1,0.399,1.067,3.845,9.277,-9.338
0.124,0.332,1.033,13.55,12.207,-10.01
0.153,0.276,0.945,20.142,6.775,-3.967
0.176,0.264,0.853,22.766,-4.15,2.747
0.174,0.256,0.768,21.606,-14.526,6.47
0.138,0.281,0.71,16.357,-17.334,6.653
0.069,0.316,0.683,7.202,-13.916,3.357
0.026,0.364,0.725,-3.723,-7.385,-2.502
0.009,0.389,0.782,-13.611,0.793,-8.667
-0.017,0.42,0.865,-19.287,9.827,-15.503
-0.064,0.406,0.963,-18.982,18.066,-17.822
-0.046,0.363,1.003,-13.611,24.841,-11.169
0.008,0.333,1.007,-4.456,26.123,-0.488
0.08,0.326,0.999,5.676,19.348,7.202
0.1,0.326,0.984,13.611,8.972,9.583
0.101,0.325,0.944,18.127,1.282,8.972
0.083,0.336,0.888,18.372,-1.77,7.141
0.045,0.349,0.842,14.465,-2.441,4.15
0,0.359,0.819,7.141,-1.099,0.366
-0.037,0.359,0.842,-1.16,-0.183,-2.441
-0.02,0.371,0.892,-7.507,0.061,-2.808
-0.007,0.369,0.932,-11.292,1.343,-1.648
0.011,0.359,0.995,-11.536,2.747,0.671
0.008,0.334,1.045,-7.568,2.319,4.333
0.037,0.313,1.067,1.465,0.427,9.277
0.081,0.312,1.042,12.329,-2.136,13.245
0.088,0.307,0.99,22.217,-5.493,12.878
0.059,0.312,0.925,28.137,-7.385,9.277
0.022,0.335,0.856,27.405,-6.409,5.432
-0.023,0.341,0.819,20.935,-6.104,2.319
-0.044,0.341,0.817,12.207,-5.371,-0.122
-0.051,0.345,0.841,4.028,-1.831,-0.916
-0.038,0.345,0.894,-1.892,2.197,-0.427
-0.013,0.339,0.943,-5.31,5.493,0.977
0.003,0.34,0.996,-5.554,7.568,2.747
0.036,0.327,1.039,-2.563,8.179,3.784
0.059,0.32,1.05,4.211,8.118,2.502
0.055,0.33,1.036,11.902,7.08,0.244
0.034,0.334,1.001,16.907,5.371,-1.587
0.03,0.351,0.954,18.372,2.014,-2.625
0.008,0.362,0.911,16.602,-2.136,-2.441
-0.025,0.35,0.883,10.986,-6.042,-1.892
-0.038,0.351,0.884,5.676,-10.01,-1.343
-0.05,0.353,0.902,1.465,-11.23,0
-0.045,0.35,0.93,-0.793,-8.545,2.014
-0.031,0.348,0.953,-0.122,-3.784,4.272
-0.02,0.357,0.98,2.502,1.892,7.08
0.005,0.358,0.992,5.798,6.042,9.155
0.033,0.349,1,9.766,6.958,9.521
0.047,0.34,0.995,13.428,5.92,7.568
0.041,0.344,0.978,16.357,4.7,4.456
0.022,0.34,0.947,17.517,3.296,2.502
0.009,0.332,0.921,15.93,2.136,1.526
0.005,0.336,0.903,12.878,0.793,1.77
0.001,0.338,0.898,9.399,-1.038,2.258
-0.003,0.334,0.903,6.348,-1.831,2.991
-0.01,0.332,0.914,4.272,-1.282,5.066
-0.001,0.331,0.932,3.601,0.854,8.24
0.017,0.317,0.94,3.296,2.991,10.803
0.025,0.316,0.951,4.639,3.357,12.329
0.031,0.313,0.971,7.751,3.113,14.465
0.062,0.302,0.974,11.414,3.723,15.869
0.078,0.303,0.963,15.442,2.502,14.954
0.068,0.305,0.943,18.555,0.732,12.817
0.045,0.305,0.916,18.433,0,10.62
0.024,0.315,0.898,15.93,-0.549,9.705
0.009,0.321,0.892,13,-1.465,10.071
0.004,0.317,0.887,10.62,-2.502,10.254
-0.003,0.319,0.889,8.972,-3.479,10.071
-0.016,0.318,0.893,7.812,-3.479,10.864
-0.015,0.324,0.898,6.958,-2.93,12.329
-0.006,0.321,0.905,6.531,-2.502,13.306
-0.004,0.307,0.921,6.958,-1.526,13.611
0.008,0.308,0.933,8.301,1.404,13.977
0.048,0.3,0.946,10.498,4.517,13.428
0.059,0.275,0.95,13.184,4.822,9.46
0.051,0.27,0.947,15.259,4.7,5.066
-0.146,-1.399,1.092,-75.623,-47.607,-3.845
-0.112,-1.419,1.082,-86.914,-53.528,-9.033
-0.048,-1.344,1.068,-94.543,-56.458,-18.677
-0.011,-1.233,1.078,-96.985,-53.894,-32.898
-0.016,-1.097,1.101,-94.36,-45.41,-49.438
-0.058,-0.927,1.123,-85.266,-31.128,-63.843
-0.162,-0.768,1.192,-69.702,-12.817,-71.594
-0.279,-0.69,1.259,-50.598,7.202,-69.824
-0.3,-0.6,1.284,-27.283,26.55,-60.181
-0.282,-0.512,1.272,2.625,39.307,-44.617
-0.13,-0.345,1.145,33.63,44.189,-30.64
0.039,0.022,0.977,64.209,35.706,-24.353
0.11,0.418,0.842,89.478,29.053,-23.804
0.198,0.802,0.748,100.586,34.058,-28.625
0.156,1.039,0.725,95.337,46.326,-35.767
0.026,0.997,0.759,72.693,57.678,-37.354
-0.021,0.714,0.753,38.879,61.768,-23.804
0.029,0.569,0.669,11.353,49.377,12.817
0.17,0.623,0.572,-3.052,24.414,61.89
0.375,0.791,0.491,-11.658,2.197,106.812
0.583,0.988,0.384,-18.86,-6.958,137.878
0.788,1.228,0.326,-24.475,-18.921,148.621
0.96,1.477,0.407,-31.494,-41.87,131.348
1.051,1.778,0.426,-49.561,-49.866,90.576
0.84,2.033,0.53,-72.205,-41.077,23.071
0.396,2.054,0.856,-89.294,-23.254,-61.462
-0.017,1.901,1.095,-97.595,8.24,-133.179
-0.352,1.731,1.223,-87.891,37.598,-165.466
-0.544,1.519,1.248,-60.242,50.415,-158.936
-0.615,1.341,1.211,-29.419,50.903,-128.784
-0.62,1.221,1.19,-9.094,45.715,-88.013
-0.616,1.121,1.194,-3.235,34.973,-46.265
-0.587,1.004,1.169,-5.554,19.836,-7.935
-0.517,0.884,1.126,-6.775,-0.916,25.513
-0.39,0.749,1.066,-2.319,-23.315,51.575
-0.193,0.607,1.009,6.348,-40.527,67.322
-0.011,0.468,0.952,18.433,-45.105,71.533
0.108,0.33,0.887,33.203,-37.476,65.247
0.181,0.271,0.819,46.936,-21.545,53.406
0.194,0.229,0.769,54.321,-4.7,41.199
0.17,0.199,0.731,52.917,7.446,31.86
0.143,0.199,0.728,44.495,15.747,27.405
0.156,0.182,0.745,31.311,17.395,26.672
0.187,0.122,0.756,15.747,11.475,29.419
0.235,0.083,0.794,2.075,1.099,33.142
0.257,0.074,0.857,-5.92,-8.606,34.546
0.298,0.08,0.93,-7.202,-12.634,29.602
0.28,0.072,0.97,-1.221,-10.864,16.357
0.222,0.103,0.987,8.118,-5.249,0.977
0.154,0.139,0.96,13.672,0.732,-11.658
0.079,0.164,0.94,13.184,5.92,-20.63
0.025,0.229,0.927,8.606,7.324,-25.208
-0.023,0.277,0.927,1.465,5.554,-25.696
-0.052,0.296,0.932,-5.92,2.93,-22.339
-0.055,0.277,0.943,-12.39,1.282,-15.747
-0.044,0.231,0.94,-17.09,1.16,-6.165
-0.005,0.227,0.946,-18.005,1.221,3.235
0.043,0.232,0.974,-16.968,2.38,8.179
0.074,0.227,1.003,-14.465,6.775,6.165
0.071,0.226,1.024,-8.911,13.489,-0.916
0.044,0.243,1.021,-1.709,20.569,-7.751
0.003,0.265,1.002,3.479,24.841,-12.268
-0.017,0.283,0.984,4.883,25.269,-14.038
-0.021,0.294,0.974,3.54,23.376,-13.489
-0.025,0.295,0.981,1.343,20.508,-10.803
-0.032,0.285,0.994,-0.854,15.137,-5.737
-0.02,0.241,1.013,-2.075,4.883,1.77
0.019,0.204,1.008,-0.305,-6.226,13.306
0.078,0.212,0.987,3.052,-16.602,23.376
0.122,0.215,0.95,4.639,-23.621,26.062
0.12,0.208,0.923,3.235,-25.33,21.484
0.088,0.201,0.912,0.732,-22.705,11.963
0.032,0.193,0.909,-0.244,-16.052,0.488
-0.012,0.209,0.905,1.282,-7.141,-6.104
-0.041,0.235,0.917,1.587,1.831,-8.24
-0.047,0.243,0.936,0.122,10.681,-8.057
-0.045,0.242,0.968,-1.892,15.991,-5.554
-0.027,0.226,0.99,-2.747,16.052,-0.793
0.004,0.228,0.995,-2.014,12.512,4.639
0.031,0.227,0.996,-0.427,7.385,7.568
0.046,0.225,0.99,0.916,2.991,7.446
0.052,0.229,0.973,2.319,1.465,5.859
0.053,0.226,0.946,2.869,3.113,2.625
0.035,0.232,0.929,2.441,5.615,-1.099
0.015,0.239,0.918,0.671,7.751,-4.089
0.007,0.244,0.912,-2.075,8.667,-5.554
0,0.243,0.92,-5.432,8.118,-5.432
0,0.239,0.935,-8.911,6.958,-3.418
0.006,0.235,0.954,-10.62,3.845,0.793
0.017,0.233,0.963,-9.644,-0.61,6.836
0.043,0.242,0.962,-6.714,-3.418,10.864
0.059,0.243,0.967,-3.418,-5.859,11.475
0.056,0.239,0.966,-0.183,-6.836,10.071
0.049,0.253,0.954,3.479,-5.066,7.507
0.03,0.262,0.926,5.615,-2.991,4.272
0.002,0.262,0.911,5.188,-1.404,1.404
-0.008,0.269,0.909,2.686,0.122,-0.183
-0.008,0.277,0.927,-0.549,0.671,-0.122
-0.001,0.262,0.948,-3.296,0.916,0.916
0.003,0.26,0.958,-5.005,1.282,2.014
0.002,0.265,0.973,-4.395,0.244,3.296
0,0.261,0.98,-2.625,-1.282,5.066
0.012,0.251,0.982,-0.549,-2.197,7.08
0.028,0.251,0.981,1.892,-2.075,7.874
0.028,0.249,0.976,4.211,-0.366,7.507
0.026,0.254,0.967,5.798,1.282,6.531
0.025,0.268,0.958,6.47,1.892,5.859
0.03,0.279,0.957,5.737,1.404,5.981
0.028,0.273,0.958,4.456,0.366,5.615
0.022,0.276,0.967,4.211,0.122,5.127
0.013,0.286,0.972,5.005,0.488,5.432
0.004,0.276,0.973,5.737,1.282,6.714
0.013,0.275,0.978,6.348,1.465,8.362
0.024,0.28,0.979,6.042,0.916,10.01
0.027,0.274,0.983,4.944,-0.732,11.292
0.039,0.263,0.988,4.761,-2.808,12.39
0.054,0.256,0.985,5.554,-4.517,12.39
0.054,0.247,0.977,6.531,-5.737,11.536
0.054,0.25,0.964,6.836,-7.202,10.498
-0.024,-1.427,1.202,-71.228,-42.847,-30.273
-0.017,-1.475,1.229,-75.5,-39.246,-46.021
-0.027,-1.517,1.242,-78.857,-34.79,-61.401
-0.067,-1.523,1.252,-81.421,-31.067,-74.402
-0.116,-1.472,1.253,-82.336,-26.367,-80.383
-0.122,-1.343,1.217,-81.055,-22.461,-78.125
-0.118,-1.192,1.141,-78.125,-20.996,-70.923
-0.095,-1.022,1.036,-72.998,-19.592,-59.692
-0.057,-0.839,0.951,-65.002,-12.756,-47.302
-0.042,-0.633,0.881,-54.321,5.493,-32.471
-0.028,-0.375,0.818,-42.358,36.743,-14.771
-0.035,-0.138,0.764,-30.579,74.158,4.089
0.021,0.068,0.7,-21.301,113.953,23.437
0.137,0.235,0.646,-18.616,141.968,38.086
0.366,0.426,0.578,-24.658,138.062,42.664
0.5,0.684,0.551,-37.354,87.28,35.156
0.453,0.814,0.63,-49.438,8.301,19.592
0.539,1.159,0.619,-51.025,-57.373,6.47
0.494,1.576,0.603,-31.555,-86.853,0.488
0.315,1.763,0.679,0.61,-79.895,-2.075
0.206,1.705,0.642,26.184,-52.795,-0.244
0.234,1.555,0.484,45.166,-37.659,12.268
0.233,1.488,0.369,59.753,-48.035,30.151
0.23,1.484,0.3,61.279,-65.979,42.114
0.213,1.564,0.244,48.096,-71.838,48.523
0.147,1.669,0.209,30.151,-71.106,49.438
0.061,1.722,0.304,12.756,-71.289,43.579
-0.031,1.687,0.382,-9.155,-63.721,36.316
-0.161,1.548,0.51,-33.325,-51.208,28.442
-0.213,1.43,0.651,-54.504,-37.415,18.066
-0.264,1.292,0.772,-70.007,-21.606,10.559
-0.322,1.189,0.898,-77.209,-5.981,7.507
-0.34,1.085,1.003,-76.233,7.996,3.967
-0.328,0.978,1.078,-67.627,22.034,0.244
-0.326,0.873,1.138,-51.941,36.072,0.671
-0.301,0.797,1.192,-31.555,48.828,5.676
-0.238,0.746,1.21,-10.559,55.969,11.047
-0.141,0.705,1.214,7.935,58.228,11.292
-0.069,0.667,1.201,24.353,54.26,8.362
-0.041,0.623,1.134,35.828,43.579,6.714
-0.033,0.583,1.058,40.466,28.625,6.897
-0.031,0.522,0.999,39.49,10.986,8.911
-0.021,0.448,0.936,34.851,-5.798,12.817
-0.024,0.357,0.887,29.297,-20.935,17.883
-0.012,0.314,0.867,23.437,-31.799,21.729
0.01,0.304,0.868,18.25,-36.926,22.949
0.018,0.311,0.898,14.16,-36.682,22.339
0.024,0.299,0.932,11.902,-28.809,19.165
0.031,0.298,0.976,11.658,-16.113,13.489
0.017,0.305,1.035,14.709,-3.662,6.775
0.004,0.307,1.065,21.851,7.69,0.061
0.001,0.322,1.058,30.151,16.785,-5.188
-0.013,0.317,1.009,35.278,21.301,-9.216
-0.017,0.305,0.945,33.508,21.667,-11.658
-0.031,0.308,0.88,25.269,17.761,-12.268
-0.033,0.287,0.861,13.977,9.583,-12.817
-0.057,0.268,0.839,2.258,0.916,-13.306
-0.068,0.292,0.861,-8.423,-2.625,-13.306
-0.092,0.3,0.899,-15.015,-3.052,-11.414
-0.104,0.326,0.939,-17.395,-1.221,-7.69
-0.104,0.334,0.986,-15.625,1.892,-3.906
-0.069,0.324,1.013,-10.742,6.653,-1.648
-0.049,0.308,1.025,-4.089,12.146,-2.136
-0.041,0.302,1.015,3.662,16.541,-4.272
-0.031,0.301,0.987,10.254,19.409,-5.676
-0.008,0.309,0.946,13.794,19.47,-5.554
-0.002,0.288,0.895,12.939,16.174,-5.066
-0.007,0.276,0.846,7.996,10.559,-4.944
-0.023,0.283,0.827,0.977,3.54,-5.066
-0.044,0.285,0.824,-6.592,-3.418,-5.371
-0.07,0.298,0.841,-12.939,-7.874,-5.188
-0.086,0.335,0.883,-16.846,-10.498,-4.395
-0.08,0.348,0.949,-17.273,-9.399,-2.319
-0.038,0.343,1.01,-13.306,-3.845,0.427
-0.015,0.319,1.043,-5.066,3.113,0.854
0,0.316,1.048,5.859,9.033,-0.61
-0.005,0.313,1.026,15.076,12.024,-1.892
-0.018,0.295,0.983,21.301,11.169,-2.014
-0.018,0.295,0.927,23.437,8.057,-1.099
-0.026,0.306,0.87,20.203,3.723,0.122
-0.049,0.3,0.849,11.658,-1.343,-0.244
-0.069,0.286,0.85,2.38,-4.761,-1.038
-0.073,0.295,0.873,-4.456,-6.409,-1.221
-0.065,0.316,0.908,-8.606,-5.737,-0.549
-0.056,0.314,0.954,-10.62,-2.991,1.404
-0.028,0.31,0.997,-8.728,1.221,4.089
0,0.309,1.025,-3.479,6.042,5.554
0.011,0.297,1.029,4.395,8.85,5.127
0.003,0.298,1.006,12.39,9.155,4.456
-0.004,0.305,0.971,17.7,7.69,4.395
-0.02,0.301,0.926,18.982,4.395,4.517
-0.032,0.299,0.89,16.541,0.488,4.7
-0.034,0.302,0.865,11.047,-3.479,4.578
-0.035,0.298,0.867,3.662,-7.996,4.7
-0.034,0.292,0.889,-2.197,-10.193,5.066
-0.027,0.29,0.909,-5.493,-7.324,5.188
-0.024,0.294,0.933,-5.981,-3.723,5.31
-0.014,0.291,0.953,-4.089,-1.221,5.859
0.001,0.29,0.958,-1.465,1.282,5.981
0.003,0.286,0.958,1.526,3.54,5.249
0,0.288,0.947,4.211,4.517,4.883
-0.006,0.295,0.936,5.859,3.479,5.066
-0.004,0.297,0.925,5.249,1.16,5.371
0,0.294,0.918,3.296,-0.61,5.676
0.004,0.297,0.916,0.916,-1.892,5.249
0.011,0.293,0.923,-1.16,-2.686,3.784
0.009,0.297,0.93,-2.136,-2.808,2.258
0.005,0.304,0.937,-2.869,-1.953,0.488
-0.004,0.307,0.949,-3.052,-0.244,-0.793
-0.016,0.309,0.962,-2.441,2.258,-1.099
-0.014,0.313,0.972,-0.183,4.7,-0.732
-0.012,0.311,0.971,2.441,5.188,0.244
-0.01,0.306,0.966,4.822,4.333,1.526
-0.012,0.303,0.952,6.287,3.052,2.625
-0.011,0.302,0.939,6.775,0.916,3.296
-0.01,0.318,0.932,6.775,-1.16,3.845
-0.018,0.32,0.929,5.188,-1.709,4.456
-0.016,0.315,0.929,3.967,-1.16,4.761
-0.015,0.311,0.931,3.296,0.488,4.456
-0.282,-1.541,1.129,-52.429,-44.067,-10.01
-0.325,-1.849,1.145,-68.848,-53.101,-13.428
-0.311,-2.083,1.148,-87.036,-59.998,-17.944
-0.231,-2.192,1.157,-104.065,-62.256,-25.269
-0.082,-2.094,1.151,-116.272,-58.838,-37.537
0.042,-1.856,1.169,-119.629,-52.979,-56.763
0.175,-1.549,1.143,-112.305,-43.457,-77.881
0.268,-1.19,1.091,-96.68,-29.724,-95.764
0.244,-0.817,1.07,-77.637,-13.184,-107.056
0.183,-0.452,1.077,-55.725,4.517,-108.704
0.103,-0.109,1.086,-29.724,24.353,-100.525
-0.029,0.209,1.065,-0.671,43.884,-83.069
-0.027,0.474,1.071,26.672,61.157,-58.044
0.015,0.659,0.96,41.077,59.204,-36.194
0.034,0.769,0.891,47.424,32.349,-23.804
0.085,0.815,0.786,49.866,3.906,-12.695
0.22,1.041,0.582,50.659,-12.085,2.014
0.228,1.359,0.503,58.96,-17.334,19.226
0.13,1.532,0.487,67.017,-3.845,37.903
0.159,1.672,0.495,69.519,25.33,57.007
0.147,1.7,0.552,65.918,56.274,76.904
0.103,1.63,0.554,50.171,77.759,93.384
0.082,1.477,0.557,26.428,74.768,101.196
0.104,1.319,0.603,4.761,43.091,98.877
0.165,1.259,0.677,-11.78,6.836,89.661
0.277,1.303,0.782,-25.33,-10.498,80.322
0.422,1.321,0.857,-38.635,-11.414,66.04
0.42,1.303,0.944,-50.415,-7.874,38.086
0.266,1.199,1.078,-56.152,-0.916,3.906
0.14,1.071,1.178,-54.382,12.756,-24.231
0.064,0.981,1.19,-45.593,22.583,-40.283
-0.006,0.941,1.174,-31.86,22.339,-47.546
-0.084,0.886,1.143,-20.203,15.991,-49.377
-0.132,0.817,1.096,-14.465,8.362,-45.959
-0.182,0.742,1.042,-12.512,-1.77,-36.56
-0.224,0.686,1.019,-10.01,-12.817,-22.278
-0.205,0.658,1.005,-7.263,-22.095,-6.714
-0.176,0.628,0.981,-5.188,-27.161,5.981
-0.146,0.57,0.952,-4.761,-26.306,15.198
-0.083,0.495,0.955,-5.188,-20.813,19.775
0.019,0.423,0.968,-4.089,-14.099,20.142
0.085,0.36,0.958,0.305,-8.362,17.395
0.094,0.333,0.97,7.935,-4.639,13.367
0.091,0.306,0.968,15.747,-0.488,10.376
0.08,0.283,0.941,21.912,5.005,9.216
0.056,0.28,0.92,25.33,9.338,9.338
0.036,0.278,0.909,26.55,12.878,10.315
0.022,0.264,0.893,26.062,14.954,12.268
0.033,0.244,0.889,25.208,13.428,15.259
0.063,0.217,0.882,22.278,9.399,19.653
0.118,0.196,0.882,17.151,4.639,23.926
0.194,0.162,0.894,11.902,0.732,25.757
0.256,0.14,0.899,7.996,-1.892,20.935
0.25,0.127,0.909,6.775,-2.686,9.216
0.212,0.126,0.912,6.226,-0.488,-2.869
0.16,0.156,0.893,4.761,2.991,-12.756
0.093,0.187,0.883,1.221,5.798,-20.874
0.021,0.232,0.9,-2.625,8.362,-25.452
-0.049,0.273,0.945,-5.127,10.193,-24.78
-0.077,0.252,0.984,-5.127,11.963,-18.982
-0.038,0.232,0.993,-1.709,12.634,-9.766
0.013,0.215,0.992,4.028,10.803,0.488
0.116,0.192,0.984,7.751,6.287,7.019
0.227,0.167,0.971,9.827,-0.305,4.761
0.279,0.141,0.948,12.695,-4.456,-7.202
0.242,0.125,0.907,18.005,-5.127,-23.865
0.151,0.137,0.869,22.461,-1.587,-36.804
0.078,0.183,0.839,21.79,5.859,-41.87
0.019,0.214,0.826,15.015,12.329,-41.382
-0.027,0.234,0.857,6.104,13.855,-37.354
-0.086,0.27,0.9,-1.648,10.254,-29.48
-0.104,0.276,0.976,-5.92,6.042,-17.944
-0.084,0.254,0.995,-7.568,1.709,-3.418
-0.044,0.259,0.998,-6.775,-2.869,10.498
0.003,0.258,1.001,-4.272,-6.165,20.935
0.036,0.244,1.002,-0.854,-7.324,24.902
0.055,0.237,0.998,5.188,-5.554,24.048
0.062,0.256,0.975,12.39,-1.526,20.447
0.047,0.26,0.949,16.235,4.944,14.954
0.032,0.254,0.934,15.625,10.01,9.216
0.039,0.223,0.917,11.658,10.864,6.165
0.042,0.203,0.893,6.104,7.202,7.141
0.05,0.195,0.896,0.671,0.732,9.277
0.058,0.201,0.911,-4.089,-5.005,11.353
0.052,0.187,0.935,-7.812,-9.766,13.062
0.073,0.189,0.957,-8.972,-12.268,14.465
0.088,0.196,0.979,-7.69,-13,13.55
0.086,0.188,0.985,-4.211,-10.254,9.277
0.08,0.187,0.973,0.122,-4.272,5.066
0.069,0.187,0.946,3.174,1.16,2.319
0.065,0.2,0.919,2.747,4.395,0.916
0.06,0.202,0.908,-0.732,5.31,-0.244
0.058,0.204,0.907,-6.165,4.7,-0.916
0.048,0.217,0.917,-11.047,2.258,-0.671
0.041,0.225,0.93,-14.343,-0.061,0.305
0.042,0.237,0.934,-16.479,-1.77,1.892
0.043,0.241,0.936,-17.578,-2.93,3.54
0.045,0.245,0.94,-17.517,-3.967,4.822
0.054,0.247,0.953,-15.93,-3.54,5.066
0.063,0.251,0.961,-13.123,-0.916,3.906
0.073,0.264,0.967,-10.132,3.54,2.197
0.07,0.265,0.961,-7.874,7.202,-0.427
0.065,0.265,0.956,-6.775,9.155,-2.808
0.065,0.267,0.944,-6.836,9.338,-3.906
0.053,0.257,0.926,-8.118,7.751,-4.028
0.039,0.241,0.92,-9.827,4.578,-3.54
0.032,0.236,0.929,-11.108,0.854,-2.258
0.038,0.251,0.944,-11.536,-1.282,0.427
0.044,0.26,0.96,-11.23,-2.686,4.028
0.054,0.263,0.971,-9.766,-3.723,7.568
0.067,0.272,0.98,-7.507,-3.784,10.742
0.076,0.284,0.982,-5.249,-3.662,13.306
0.081,0.285,0.984,-4.028,-4.7,14.893
0.094,0.28,0.988,-3.235,-6.531,14.587
0.1,0.271,0.987,-2.075,-7.629,11.719
0.092,0.275,0.981,-0.488,-7.019,8.728
0.077,0.284,0.967,0.122,-5.493,6.714
0.069,0.29,0.958,-0.549,-5.249,5.676
0.066,0.294,0.943,-2.136,-6.042,5.859
0.385,1.619,0.767,45.532,2.075,23.315
0.309,1.63,0.717,50.781,27.039,31.006
