aX,aY,aZ,gX,gY,gZ,,aX,aY,aZ,gX,gY,gZ
-0.186,-0.69,0.228,3.784,-53.711,-1.099,,,,,,,
-0.166,-0.708,0.283,-4.7,-38.147,-2.258,,,,,,,
-0.162,-0.703,0.373,-12.634,-26.062,-3.967,,,,,,,
-0.16,-0.701,0.507,-17.822,-19.714,-5.005,,,,,,,
-0.16,-0.703,0.625,-20.752,-16.479,-3.601,,,,,,,
-0.177,-0.698,0.755,-19.531,-16.907,-1.709,,,,,,,
-0.189,-0.687,0.85,-14.343,-19.165,-0.427,,,,,,,
-0.184,-0.648,0.916,-7.507,-21.912,1.648,,,,,,,
-0.19,-0.609,0.93,-1.343,-24.17,3.845,,,,,,,
-0.183,-0.589,0.911,2.502,-23.376,4.7,,,,,,,
-0.181,-0.597,0.888,4.883,-20.325,3.784,,,,,,,
-0.181,-0.606,0.859,6.714,-15.32,0.854,,,,,,,
-0.188,-0.618,0.794,7.568,-7.812,-2.075,,,,,,,
-0.206,-0.642,0.737,8.118,-2.747,-3.906,,,,,,,
-0.221,-0.661,0.693,8.423,-1.465,-4.272,,,,,,,
-0.229,-0.684,0.646,8.667,-1.709,-3.235,,,,,,,
-0.24,-0.675,0.621,9.216,-2.319,-1.221,,,,,,,
-0.254,-0.669,0.622,8.667,-4.639,1.526,,,,,,,
-0.259,-0.669,0.63,6.531,-7.629,3.479,,,,,,,
-0.26,-0.661,0.639,4.517,-10.559,4.639,,,,,,,
-0.24,-0.65,0.653,2.441,-10.01,5.371,,,,,,,
-0.227,-0.648,0.657,-0.244,-7.202,5.615,,,,,,,
-0.201,-0.658,0.662,-3.052,-4.028,4.211,,,,,,,
-0.182,-0.666,0.682,-5.005,-1.16,2.319,,,,,,,
-0.171,-0.683,0.709,-5.676,2.441,1.16,,,,,,,
-0.177,-0.679,0.726,-3.662,6.653,1.404,,,,,,,
-0.196,-0.665,0.753,0.244,9.216,2.991,,,,,,,
-0.217,-0.656,0.779,3.052,7.08,4.456,,,,,,,
-0.219,-0.647,0.784,3.906,2.197,4.7,,,,,,,
-0.227,-0.639,0.777,5.066,-2.014,5.432,,,,,,,
-0.23,-0.635,0.759,6.47,-3.54,6.47,,,,,,,
-0.228,-0.634,0.742,6.958,-3.845,6.592,,,,,,,
-0.224,-0.648,0.716,6.409,-4.272,5.737,,,,,,,
-0.224,-0.658,0.704,5.554,-4.456,4.944,,,,,,,
-0.217,-0.667,0.698,5.127,-6.47,4.639,,,,,,,
-0.213,-0.676,0.687,4.333,-8.972,4.395,,,,,,,
-0.203,-0.682,0.681,4.456,-9.766,4.028,,,,,,,
-0.202,-0.68,0.678,5.554,-8.545,4.272,,,,,,,
-0.199,-0.681,0.672,6.592,-5.676,4.883,,,,,,,
-0.194,-0.68,0.665,7.568,-1.587,5.066,,,,,,,
-0.194,-0.676,0.664,8.484,3.601,4.7,,,,,,,
-0.201,-0.67,0.664,8.423,8.789,4.089,,,,,,,
-0.203,-0.668,0.671,6.958,11.169,2.502,,,,,,,
-0.205,-0.675,0.679,4.761,10.925,0.854,,,,,,,
-0.201,-0.677,0.687,3.052,8.728,0.366,,,,,,,
-0.183,-0.678,0.7,1.709,5.432,0.122,,,,,,,
-0.169,-0.69,0.703,0.854,2.441,-0.488,,,,,,,
-0.169,-0.695,0.698,1.526,2.563,-0.854,,,,,,,
-0.178,-0.69,0.707,3.784,4.456,-0.61,,,,,,,
-0.193,-0.682,0.702,5.432,5.31,-0.427,,,,,,,
-0.203,-0.676,0.706,6.104,3.784,-0.122,,,,,,,
-0.199,-0.675,0.708,5.798,1.099,-0.061,,,,,,,
-0.19,-0.672,0.703,4.7,-1.221,-0.122,,,,,,,
-0.18,-0.675,0.707,3.357,-2.319,-0.793,,,,,,,
-0.177,-0.67,0.713,2.747,-2.38,-1.77,,,,,,,
-0.172,-0.676,0.724,2.258,-2.686,-2.441,,,,,,,
-0.176,-0.692,0.72,2.136,-3.967,-2.991,,,,,,,
-0.182,-0.695,0.705,2.869,-4.15,-3.113,,,,,,,
-0.193,-0.691,0.708,5.432,-2.93,-2.38,,,,,,,
-0.212,-0.682,0.703,7.69,-0.244,-0.793,,,,,,,
-0.228,-0.67,0.712,8.545,0.244,-0.183,,,,,,,
-0.24,-0.662,0.704,7.69,-1.587,-0.366,,,,,,,
-0.24,-0.668,0.709,6.226,-3.174,0.427,,,,,,,
-0.239,-0.679,0.711,5.127,-4.761,1.282,,,,,,,
-0.23,-0.686,0.707,4.822,-5.981,1.587,,,,,,,
-0.22,-0.685,0.697,5.31,-6.47,1.709,,,,,,,
-0.21,-0.686,0.69,5.31,-6.042,1.892,,,,,,,
-0.209,-0.691,0.688,5.127,-5.249,2.014,,,,,,,
-0.204,-0.698,0.687,5.31,-4.395,2.014,,,,,,,
-0.202,-0.702,0.682,6.226,-2.502,2.563,,,,,,,
-0.204,-0.696,0.675,7.507,-0.916,3.418,,,,,,,
-0.197,-0.693,0.665,7.935,0.671,3.174,,,,,,,
-0.198,-0.685,0.656,8.118,2.869,2.747,,,,,,,
-0.2,-0.683,0.658,8.301,5.371,2.075,,,,,,,
-0.207,-0.679,0.651,7.446,6.592,1.221,,,,,,,
-0.21,-0.678,0.65,5.432,6.165,0.366,,,,,,,
-0.208,-0.682,0.666,3.418,4.578,-0.488,,,,,,,
-0.201,-0.687,0.684,1.77,2.014,-1.038,,,,,,,
-0.198,-0.696,0.703,1.282,-0.366,-0.854,,,,,,,
-0.199,-0.702,0.706,1.709,-1.343,-0.305,,,,,,,
-0.202,-0.7,0.716,3.845,-0.732,0.427,,,,,,,
-0.21,-0.698,0.723,6.592,-0.183,0.916,,,,,,,
-0.217,-0.694,0.721,8.789,0.061,1.343,,,,,,,
-0.225,-0.681,0.7,10.559,0.854,1.892,,,,,,,
-0.232,-0.668,0.694,10.559,1.709,2.38,,,,,,,
-0.234,-0.667,0.681,8.301,1.16,1.77,,,,,,,
-0.224,-0.681,0.678,5.005,0.488,0.305,,,,,,,
-0.214,-0.702,0.677,2.625,0.671,-0.854,,,,,,,
-0.208,-0.715,0.68,2.197,2.197,-1.16,,,,,,,
-0.208,-0.718,0.685,3.601,4.15,-1.038,,,,,,,
-0.211,-0.711,0.682,5.432,5.066,-0.854,,,,,,,
-0.221,-0.702,0.688,7.141,4.395,-0.061,,,,,,,
-0.227,-0.701,0.693,8.362,2.441,0.916,,,,,,,
-0.223,-0.691,0.693,8.972,0.183,1.404,,,,,,,
-0.217,-0.682,0.678,8.24,-1.404,2.014,,,,,,,
-0.211,-0.679,0.675,6.836,-1.953,1.648,,,,,,,
-0.2,-0.681,0.67,4.7,-1.77,0.854,,,,,,,
-0.193,-0.695,0.671,2.991,-1.038,0.061,,,,,,,
-0.191,-0.708,0.669,2.258,0.122,-0.61,,,,,,,
-0.199,-0.717,0.681,3.052,0.488,-0.977,,,,,,,
-0.203,-0.716,0.68,5.31,-0.122,-0.061,,,,,,,
-0.204,-0.715,0.672,7.446,-0.427,1.77,,,,,,,
-0.206,-0.708,0.658,9.094,-0.549,3.418,,,,,,,
-0.207,-0.7,0.649,8.911,-1.526,3.784,,,,,,,
-0.199,-0.696,0.648,7.874,-2.197,3.54,,,,,,,
-0.195,-0.695,0.641,5.737,-1.831,2.808,,,,,,,
-0.192,-0.7,0.647,3.357,-1.221,1.343,,,,,,,
-0.053,-0.255,2.606,-187.439,-2.625,-34.302,,,,,,,
0,-0.392,2.628,-150.146,11.963,-34.363,,,,,,,
0.056,-0.47,2.543,-101.929,27.161,-33.203,,,,,,,
0.072,-0.492,2.315,-52.979,38.696,-27.71,,,,,,,
0.002,-0.434,1.944,-13.367,46.753,-17.151,,,,,,,
-0.068,-0.434,1.614,17.151,40.527,-9.827,,,,,,,
-0.146,-0.507,1.273,35.767,17.456,-7.996,,,,,,,
-0.15,-0.546,0.873,42.358,-7.08,-7.446,,,,,,,
-0.139,-0.592,0.519,43.762,-29.663,-5.066,,,,,,,
-0.152,-0.625,0.3,42.969,-45.349,-1.526,,,,,,,
-0.161,-0.658,0.187,37.17,-50.842,0.793,,,,,,,
-0.185,-0.68,0.115,24.048,-50.903,-0.732,,,,,,,
-0.212,-0.687,0.125,8.362,-48.462,-4.211,,,,,,,
-0.24,-0.709,0.192,-7.324,-45.776,-7.874,,,,,,,
-0.241,-0.7,0.266,-21.912,-42.725,-10.925,,,,,,,
-0.252,-0.683,0.399,-33.447,-40.161,-14.343,,,,,,,
-0.26,-0.67,0.537,-41.626,-32.898,-16.174,,,,,,,
-0.276,-0.653,0.672,-45.593,-20.264,-13.916,,,,,,,
-0.302,-0.658,0.833,-43.091,-8.667,-9.521,,,,,,,
-0.333,-0.637,0.967,-36.56,-0.244,-4.211,,,,,,,
-0.336,-0.609,1.061,-26.978,4.517,0.854,,,,,,,
-0.33,-0.566,1.091,-18.188,2.136,6.348,,,,,,,
-0.289,-0.535,1.065,-12.39,-3.54,9.949,,,,,,,
-0.252,-0.533,1.016,-9.033,-8.728,11.719,,,,,,,
-0.216,-0.539,0.959,-5.92,-11.292,11.78,,,,,,,
-0.186,-0.552,0.913,-2.808,-11.169,10.254,,,,,,,
-0.176,-0.573,0.857,-0.183,-7.812,8.545,,,,,,,
-0.18,-0.592,0.83,3.601,-2.869,7.446,,,,,,,
-0.193,-0.592,0.805,7.202,0.366,6.958,,,,,,,
-0.195,-0.605,0.783,9.216,1.404,5.981,,,,,,,
-0.202,-0.607,0.751,10.925,1.221,5.859,,,,,,,
-0.201,-0.598,0.735,12.695,0.671,6.897,,,,,,,
-0.202,-0.597,0.719,12.451,-1.221,7.385,,,,,,,
-0.194,-0.605,0.686,10.193,-3.113,6.714,,,,,,,
-0.187,-0.613,0.666,8.118,-5.005,5.31,,,,,,,
-0.181,-0.625,0.639,5.92,-6.104,4.028,,,,,,,
-0.171,-0.628,0.628,3.479,-5.615,2.441,,,,,,,
-0.17,-0.63,0.635,1.099,-4.211,0.488,,,,,,,
-0.169,-0.634,0.642,-1.221,-1.526,-1.221,,,,,,,
-0.182,-0.641,0.683,-2.075,1.953,-2.197,,,,,,,
-0.207,-0.644,0.708,-2.563,4.456,-2.808,,,,,,,
-0.229,-0.636,0.736,-2.38,6.104,-2.625,,,,,,,
-0.243,-0.627,0.765,-1.404,6.226,-1.404,,,,,,,
-0.249,-0.62,0.769,-1.221,4.578,-0.549,,,,,,,
-0.239,-0.617,0.777,-1.526,1.709,-0.732,,,,,,,
-0.228,-0.606,0.78,-1.221,0.183,-0.977,,,,,,,
-0.228,-0.603,0.771,-1.099,1.282,-0.488,,,,,,,
-0.235,-0.598,0.777,-0.793,2.563,-0.122,,,,,,,
-0.236,-0.604,0.791,-0.366,1.831,0,,,,,,,
-0.234,-0.617,0.804,0.488,0,1.038,,,,,,,
-0.232,-0.618,0.817,3.479,-0.305,2.502,,,,,,,
-0.227,-0.606,0.808,7.08,0.977,4.089,,,,,,,
-0.223,-0.59,0.778,9.033,2.93,4.639,,,,,,,
-0.222,-0.59,0.747,9.46,4.639,4.211,,,,,,,
-0.221,-0.589,0.725,8.85,5.493,3.723,,,,,,,
-0.22,-0.597,0.711,6.958,4.456,3.662,,,,,,,
-0.217,-0.623,0.705,4.395,1.099,3.174,,,,,,,
-0.204,-0.636,0.707,3.174,-3.174,2.991,,,,,,,
-0.195,-0.643,0.718,3.296,-6.653,3.784,,,,,,,
-0.184,-0.646,0.728,3.967,-8.118,4.639,,,,,,,
-0.18,-0.651,0.734,5.188,-7.935,4.761,,,,,,,
-0.175,-0.646,0.738,7.385,-4.517,4.822,,,,,,,
-0.177,-0.646,0.745,9.888,0.183,4.333,,,,,,,
-0.188,-0.636,0.736,11.841,4.639,2.808,,,,,,,
-0.205,-0.622,0.74,12.39,6.897,1.221,,,,,,,
-0.219,-0.604,0.737,10.376,4.883,-0.366,,,,,,,
-0.221,-0.6,0.72,6.042,0.793,-1.831,,,,,,,
-0.211,-0.616,0.726,1.953,-2.686,-2.686,,,,,,,
-0.203,-0.635,0.727,-0.366,-4.15,-2.93,,,,,,,
-0.188,-0.647,0.73,-1.038,-3.662,-3.174,,,,,,,
-0.188,-0.658,0.737,0.061,-0.977,-3.54,,,,,,,
-0.208,-0.672,0.745,2.93,4.761,-2.38,,,,,,,
-0.229,-0.652,0.75,6.897,9.644,-0.793,,,,,,,
-0.244,-0.631,0.755,8.789,9.705,-0.305,,,,,,,
-0.245,-0.614,0.737,7.874,8.728,0.122,,,,,,,
-0.246,-0.609,0.742,6.348,6.653,0.122,,,,,,,
-0.233,-0.606,0.732,3.174,5.127,-0.427,,,,,,,
-0.227,-0.619,0.731,0.244,4.578,-1.343,,,,,,,
-0.227,-0.629,0.739,-1.221,3.906,-2.197,,,,,,,
-0.225,-0.636,0.743,-1.892,1.892,-2.563,,,,,,,
-0.216,-0.646,0.75,-1.709,-1.099,-2.686,,,,,,,
-0.205,-0.65,0.755,-0.061,-2.93,-2.258,,,,,,,
-0.208,-0.65,0.754,2.747,-3.052,-0.854,,,,,,,
-0.212,-0.638,0.751,5.92,-1.587,1.526,,,,,,,
-0.225,-0.621,0.742,8.728,0.183,3.784,,,,,,,
-0.233,-0.605,0.736,9.46,0.854,5.066,,,,,,,
-0.233,-0.599,0.738,7.874,-0.977,5.127,,,,,,,
-0.225,-0.606,0.745,5.31,-3.296,4.089,,,,,,,
-0.216,-0.622,0.74,3.174,-4.7,2.808,,,,,,,
-0.203,-0.638,0.73,2.747,-4.517,2.075,,,,,,,
-0.192,-0.643,0.717,3.845,-3.113,1.587,,,,,,,
-0.181,-0.641,0.715,5.249,-0.671,1.77,,,,,,,
-0.182,-0.635,0.72,6.531,1.831,1.343,,,,,,,
-0.193,-0.636,0.734,7.507,4.578,1.099,,,,,,,
-0.208,-0.647,0.754,8.789,5.615,1.404,,,,,,,
-0.217,-0.633,0.766,10.254,4.211,1.282,,,,,,,
-0.214,-0.623,0.767,10.437,1.709,0.977,,,,,,,
-0.214,-0.622,0.76,9.888,0.549,0.854,,,,,,,
-0.209,-0.631,0.754,9.155,0.061,0.122,,,,,,,
-0.208,-0.64,0.75,8.301,0.488,-0.671,,,,,,,
-0.189,-0.656,0.724,7.202,1.404,-0.916,,,,,,,
-0.2,-0.668,0.732,7.629,0.427,-1.221,,,,,,,
-0.203,-0.672,0.721,8.545,0.427,-1.282,,,,,,,
-0.213,-0.67,0.711,10.254,1.343,-0.427,,,,,,,
-0.224,-0.66,0.708,11.78,2.258,0.671,,,,,,,
-0.235,-0.655,0.695,11.719,1.648,0.732,,,,,,,
-0.238,-0.653,0.695,10.437,0.488,0.793,,,,,,,
-0.234,-0.65,0.677,8.606,-1.282,1.77,,,,,,,
-0.221,-0.651,0.66,5.981,-2.502,2.197,,,,,,,
-0.203,-0.662,0.667,2.991,-3.601,1.404,,,,,,,
-0.194,-0.677,0.682,0.732,-3.235,0.061,,,,,,,
-0.193,-0.681,0.696,0.122,-1.343,-0.854,,,,,,,
-0.195,-0.676,0.71,1.038,0.916,-1.099,,,,,,,
-0.206,-0.672,0.724,2.258,2.319,-0.732,,,,,,,
-0.213,-0.661,0.736,4.028,3.418,0.488,,,,,,,
-0.222,-0.651,0.741,5.432,3.662,1.221,,,,,,,
-0.227,-0.648,0.743,6.042,3.418,1.282,,,,,,,
-0.221,-0.646,0.746,6.714,3.174,1.282,,,,,,,
-0.217,-0.64,0.749,7.263,3.052,1.404,,,,,,,
-0.183,0.67,-1.745,-139.954,-24.353,-18.433,,,,,,,
-0.214,0.687,-1.687,-169.067,-30.579,-28.809,,,,,,,
-0.222,0.652,-1.603,-196.716,-39.673,-38.025,,,,,,,
-0.21,0.552,-1.524,-219.543,-48.706,-44.25,,,,,,,
-0.185,0.449,-1.471,-236.755,-53.04,-46.936,,,,,,,
-0.16,0.384,-1.423,-244.568,-51.27,-47.119,,,,,,,
-0.141,0.34,-1.386,-244.873,-41.809,-42.664,,,,,,,
-0.116,0.307,-1.378,-242.493,-25.818,-34.79,,,,,,,
-0.107,0.312,-1.349,-242.371,-3.662,-26.917,,,,,,,
-0.124,0.361,-1.329,-248.84,22.156,-21.729,,,,,,,
-0.183,0.371,-1.288,-261.169,42.053,-18.555,,,,,,,
-0.225,0.363,-1.216,-279.175,48.157,-18.616,,,,,,,
-0.311,0.338,-1.128,-300.659,42.542,-22.461,,,,,,,
-0.327,0.276,-1.047,-321.289,32.593,-29.541,,,,,,,
-0.322,0.145,-0.966,-339.539,20.691,-35.95,,,,,,,
-0.313,0.026,-0.897,-349.121,18.494,-32.959,,,,,,,
-0.29,-0.082,-0.819,-343.445,30.457,-22.095,,,,,,,
-0.285,-0.12,-0.788,-331.055,44.922,-10.864,,,,,,,
-0.258,-0.091,-0.807,-319.275,53.955,-2.319,,,,,,,
-0.274,-0.008,-0.763,-317.078,56.396,2.808,,,,,,,
-0.323,0.036,-0.706,-326.721,48.706,3.113,,,,,,,
-0.306,0.023,-0.693,-339.905,29.541,1.038,,,,,,,
-0.234,0.035,-0.71,-353.76,6.226,-0.977,,,,,,,
-0.144,0.017,-0.63,-369.568,-12.268,-7.324,,,,,,,
-0.099,0.005,-0.513,-385.925,-11.841,-14.16,,,,,,,
-0.086,-0.038,-0.373,-395.02,9.888,-15.198,,,,,,,
-0.083,-0.087,-0.192,-395.142,41.992,-10.986,,,,,,,
-0.092,-0.098,-0.012,-389.709,68.481,-7.141,,,,,,,
-0.097,-0.073,0.139,-382.202,79.529,-6.042,,,,,,,
-0.086,-0.046,0.231,-374.878,79.834,-2.869,,,,,,,
-0.07,0.027,0.278,-368.591,77.026,3.113,,,,,,,
-0.048,0.089,0.375,-364.99,69.397,6.348,,,,,,,
-0.042,0.122,0.47,-365.784,56.763,5.737,,,,,,,
-0.023,0.144,0.576,-366.028,45.288,7.202,,,,,,,
-0.006,0.14,0.72,-362.854,34.18,11.841,,,,,,,
0.026,0.168,0.937,-356.14,22.766,18.616,,,,,,,
0.088,0.198,1.232,-348.389,15.381,20.447,,,,,,,
0.146,0.163,1.518,-339.539,18.494,16.602,,,,,,,
0.156,0.095,1.809,-322.571,34.851,11.963,,,,,,,
0.112,0.078,2.065,-294.556,55.237,8.545,,,,,,,
0.044,0.082,2.253,-261.169,66.65,5.798,,,,,,,
-0.048,0.166,2.431,-232.239,61.829,4.517,,,,,,,
-0.065,0.23,2.724,-213.806,38.025,2.014,,,,,,,
-0.041,0.12,2.956,-203.613,3.113,-1.953,,,,,,,
0.04,-0.098,2.926,-188.599,-28.564,-7.812,,,,,,,
0.098,-0.289,2.718,-153.748,-50.11,-14.404,,,,,,,
0.111,-0.375,2.37,-102.966,-50.537,-14.099,,,,,,,
0.063,-0.388,2.028,-48.218,-34.424,-9.216,,,,,,,
-0.01,-0.392,1.648,-4.211,-11.78,-5.554,,,,,,,
-0.073,-0.418,1.267,24.048,6.47,-5.798,,,,,,,
-0.145,-0.447,0.948,38.574,11.963,-9.094,,,,,,,
-0.189,-0.49,0.691,41.382,7.751,-12.451,,,,,,,
-0.222,-0.512,0.53,38.025,-1.587,-14.099,,,,,,,
-0.228,-0.544,0.444,29.236,-13.55,-13.733,,,,,,,
-0.227,-0.572,0.416,15.442,-27.344,-12.39,,,,,,,
-0.21,-0.622,0.453,2.38,-40.344,-10.803,,,,,,,
-0.183,-0.66,0.511,-6.47,-47.485,-7.446,,,,,,,
-0.166,-0.681,0.597,-8.606,-47.974,-4.028,,,,,,,
-0.158,-0.661,0.689,-5.493,-42.419,-2.258,,,,,,,
-0.166,-0.625,0.771,-0.305,-33.569,-2.258,,,,,,,
-0.21,-0.579,0.817,4.639,-24.231,-2.502,,,,,,,
-0.247,-0.555,0.855,7.812,-17.151,-2.747,,,,,,,
-0.265,-0.538,0.867,7.996,-14.893,-3.479,,,,,,,
-0.272,-0.541,0.857,6.714,-14.16,-4.883,,,,,,,
-0.266,-0.556,0.839,5.981,-12.39,-5.493,,,,,,,
-0.265,-0.564,0.83,6.287,-9.766,-5.859,,,,,,,
-0.274,-0.586,0.799,6.653,-8.057,-6.531,,,,,,,
-0.278,-0.606,0.76,7.263,-5.005,-5.737,,,,,,,
-0.294,-0.615,0.747,9.277,-1.099,-2.991,,,,,,,
-0.302,-0.622,0.738,10.925,0.854,-0.427,,,,,,,
-0.296,-0.607,0.72,10.437,0.854,2.075,,,,,,,
-0.291,-0.602,0.719,9.521,-0.244,3.662,,,,,,,
-0.286,-0.605,0.714,7.019,-1.343,4.028,,,,,,,
-0.281,-0.612,0.708,4.15,-2.014,3.967,,,,,,,
-0.273,-0.615,0.711,2.075,-1.831,3.845,,,,,,,
-0.273,-0.614,0.714,0.61,-2.014,3.662,,,,,,,
-0.266,-0.61,0.705,-1.526,-2.319,3.479,,,,,,,
-0.258,-0.606,0.709,-3.479,-3.113,2.93,,,,,,,
-0.244,-0.608,0.72,-4.517,-2.441,2.319,,,,,,,
-0.244,-0.605,0.738,-3.845,0.183,2.991,,,,,,,
-0.243,-0.602,0.749,-2.869,4.456,4.7,,,,,,,
-0.239,-0.594,0.774,-0.854,7.751,6.592,,,,,,,
-0.236,-0.59,0.789,0.244,8.24,6.897,,,,,,,
-0.228,-0.587,0.794,0.793,7.08,6.042,,,,,,,
-0.221,-0.581,0.794,1.038,4.456,5.493,,,,,,,
-0.212,-0.573,0.773,0.488,0.61,4.761,,,,,,,
-0.203,-0.563,0.769,-0.549,-3.052,3.174,,,,,,,
-0.206,-0.574,0.778,-2.319,-6.226,1.587,,,,,,,
-0.208,-0.584,0.775,-3.113,-8.667,1.16,,,,,,,
-0.207,-0.591,0.78,-2.136,-10.559,0.916,,,,,,,
-0.207,-0.595,0.766,-0.366,-9.338,1.465,,,,,,,
-0.217,-0.604,0.77,2.441,-6.042,2.563,,,,,,,
-0.23,-0.599,0.759,5.859,-2.502,3.174,,,,,,,
-0.241,-0.584,0.755,8.179,0.305,3.418,,,,,,,
-0.247,-0.575,0.751,8.423,1.77,3.418,,,,,,,
-0.25,-0.571,0.75,7.324,1.526,2.563,,,,,,,
-0.248,-0.574,0.747,5.249,1.526,1.221,,,,,,,
-0.241,-0.583,0.748,3.357,2.808,-0.427,,,,,,,
-0.237,-0.596,0.749,2.136,4.822,-1.709,,,,,,,
-0.242,-0.606,0.756,2.197,7.263,-2.197,,,,,,,
-0.242,-0.606,0.762,3.418,8.545,-1.77,,,,,,,
-0.244,-0.605,0.763,4.395,8.057,-0.61,,,,,,,
-0.239,-0.603,0.769,4.761,6.775,0.793,,,,,,,
-0.243,-0.594,0.776,5.31,4.517,1.892,,,,,,,
-0.243,-0.582,0.775,5.493,2.258,2.747,,,,,,,
-0.233,-0.574,0.786,4.883,-0.916,3.174,,,,,,,
-0.231,-0.572,0.788,3.601,-2.686,2.747,,,,,,,
-0.236,-0.584,0.781,2.747,-3.54,2.136,,,,,,,
-0.235,-0.594,0.776,2.991,-3.662,2.136,,,,,,,
-0.229,-0.604,0.774,3.967,-3.174,2.686,,,,,,,
-0.219,-0.615,0.77,4.883,-2.747,2.93,,,,,,,
-0.208,-0.617,0.768,6.592,-1.648,3.479,,,,,,,
-0.194,-0.615,0.77,8.423,0.61,3.723,,,,,,,
-0.186,-0.611,0.762,10.254,3.418,3.235,,,,,,,
-0.182,-0.594,0.755,11.841,6.348,2.625,,,,,,,
-0.195,-0.583,0.754,12.39,7.812,2.869,,,,,,,
-0.209,-0.587,0.755,10.62,6.47,2.38,,,,,,,
-0.213,-0.593,0.748,8.911,3.113,0.977,,,,,,,
-0.214,-0.596,0.74,7.996,0.366,-0.244,,,,,,,
-0.24,0.39,-2.136,-123.84,-81.543,-0.549,,,,,,,
-0.228,0.501,-2.189,-145.02,-102.295,-5.554,,,,,,,
-0.197,0.58,-2.217,-168.457,-122.681,-12.085,,,,,,,
-0.15,0.66,-2.21,-191.65,-132.629,-15.625,,,,,,,
-0.092,0.683,-2.153,-212.463,-131.348,-16.846,,,,,,,
-0.019,0.646,-2.059,-233.093,-121.521,-19.531,,,,,,,
0.03,0.589,-1.918,-253.479,-105.591,-25.513,,,,,,,
0.061,0.583,-1.823,-272.461,-84.534,-32.593,,,,,,,
0.072,0.598,-1.748,-288.208,-64.636,-39.429,,,,,,,
0.045,0.63,-1.683,-303.528,-52.185,-46.265,,,,,,,
0.024,0.646,-1.632,-322.51,-45.227,-52.612,,,,,,,
0.009,0.678,-1.576,-341.858,-46.57,-57.129,,,,,,,
-0.011,0.599,-1.457,-356.445,-55.237,-57.434,,,,,,,
0.011,0.521,-1.332,-371.033,-56.885,-57.983,,,,,,,
0.026,0.455,-1.159,-386.719,-46.326,-63.11,,,,,,,
0.021,0.375,-0.978,-399.109,-23.621,-66.772,,,,,,,
-0.005,0.344,-0.773,-405.212,6.775,-66.284,,,,,,,
-0.025,0.289,-0.605,-407.654,36.194,-63.416,,,,,,,
-0.053,0.226,-0.431,-407.959,52.368,-57.556,,,,,,,
-0.056,0.172,-0.264,-407.104,54.382,-51.575,,,,,,,
-0.072,0.128,-0.124,-406.86,47.607,-46.875,,,,,,,
-0.026,0.09,0.009,-406.494,35.339,-44.556,,,,,,,
0,0.077,0.102,-406.128,20.386,-44.128,,,,,,,
0.06,0.081,0.206,-402.405,10.315,-44.861,,,,,,,
0.054,0.144,0.313,-396.851,2.93,-46.57,,,,,,,
0.061,0.145,0.483,-392.273,-2.441,-49.5,,,,,,,
0.042,0.139,0.679,-384.888,-0.854,-51.88,,,,,,,
0.024,0.132,0.88,-372.559,8.911,-52.49,,,,,,,
-0.016,0.128,1.079,-355.591,22.095,-53.833,,,,,,,
-0.073,0.111,1.255,-336.975,34.851,-54.565,,,,,,,
-0.15,0.103,1.398,-316.711,40.527,-53.589,,,,,,,
-0.187,0.092,1.495,-297.18,36.194,-51.758,,,,,,,
-0.23,0.058,1.55,-280.212,21.79,-49.5,,,,,,,
-0.271,0.008,1.594,-264.954,5.615,-44.739,,,,,,,
-0.294,-0.052,1.625,-248.047,-7.324,-39.124,,,,,,,
-0.35,-0.117,1.66,-228.577,-19.775,-34.18,,,,,,,
-0.394,-0.16,1.663,-209.29,-27.039,-32.043,,,,,,,
-0.468,-0.086,1.73,-194.397,-33.203,-32.166,,,,,,,
-0.551,-0.085,1.898,-187.561,-42.786,-33.875,,,,,,,
-0.554,-0.138,2.032,-185.974,-53.833,-34.18,,,,,,,
-0.506,-0.238,2.069,-177.979,-63.293,-34.058,,,,,,,
-0.449,-0.325,2.045,-157.349,-70.801,-36.865,,,,,,,
-0.415,-0.405,1.95,-128.113,-66.589,-37.354,,,,,,,
-0.388,-0.481,1.801,-92.59,-48.645,-30.029,,,,,,,
-0.39,-0.515,1.623,-53.894,-28.992,-17.09,,,,,,,
-0.387,-0.503,1.404,-21.79,-20.203,-5.981,,,,,,,
-0.361,-0.486,1.164,-3.54,-25.513,-0.854,,,,,,,
-0.304,-0.492,0.934,3.601,-39.856,1.404,,,,,,,
-0.24,-0.536,0.749,4.578,-54.016,2.563,,,,,,,
-0.17,-0.568,0.603,2.014,-63.171,1.526,,,,,,,
-0.114,-0.611,0.508,-2.38,-65.552,-2.258,,,,,,,
-0.084,-0.639,0.457,-6.714,-58.594,-8.667,,,,,,,
-0.09,-0.658,0.468,-10.315,-45.959,-17.212,,,,,,,
-0.13,-0.687,0.49,-12.756,-29.724,-23.743,,,,,,,
-0.193,-0.687,0.536,-11.047,-11.414,-23.499,,,,,,,
-0.254,-0.677,0.625,-6.47,2.258,-20.508,,,,,,,
-0.323,-0.668,0.684,-3.296,8.484,-19.104,,,,,,,
-0.369,-0.635,0.727,-1.892,7.141,-17.7,,,,,,,
-0.409,-0.606,0.738,-2.38,0.061,-15.076,,,,,,,
-0.415,-0.586,0.746,-5.249,-9.094,-12.268,,,,,,,
-0.408,-0.591,0.757,-9.46,-18.127,-10.071,,,,,,,
